batch,subject,faculty_initial,room,type,time,day,term,faculty_name
sya1,eics,rk,,lecture,2:40-3:40,Tue,Odd(2023-24),Ms. Rupali S. Kadu
tya,bce,pp,,lecture,2:40-3:40,Tue,Odd(2023-24),Ms. Prahelika Pai
lyb,mwe,kr,,lecture,9:00-10:00,Tue,Odd(2023-24),Dr. Kiran R. Rathod
syb,edc,na,,lecture,10:00-11:00,Wed,Odd(2023-24),Dr. Namrata Ansari
,ame-i,ds,cr10,lecture,10:00-11:00,Wed,Odd(2023-24),Mr. Divesh Singh
syb,ent,pg,,lecture,11:00-12:00,Wed,Odd(2023-24),Mrs. Priya Gupta
,edc,na,cr10,lecture,11:00-12:00,Wed,Odd(2023-24),Dr. Namrata Ansari
sya1,sbl-iv+pbl,pg,,lecture,12:30-1:30,Wed,Odd(2023-24),Mrs. Priya Gupta
syb,eics,sm,,lecture,12:30-1:30,Wed,Odd(2023-24),Mr. Sandeep S. Mishra
syb,am-iii,ds,,lecture,1:30-2:30,Wed,Odd(2023-24),Mr. Divesh Singh
,iloc mis,vc,cr16,lecture,9:00-10:00,Wed,Odd(2023-24),Ms. Vricha S. Chavan
lyb3,wn,ar,lab-601,lab,10:40-11:40,Fri,Odd(2025-26),Mrs. Anuprita Rane
tya1,ai,jk,lab-701,lab,10:40-11:40,Fri,Odd(2025-26),Dr. Jayashree V. Khanapuri
syb4,pbl-i,pu,lab-601,lab,1:10-2:10,Fri,Odd(2025-26),Mr. Prashant B. Upadhyay
tyb,ie,it,cr-0,lecture,3:10-4:10,Fri,Odd(2025-26),Unknown
sya4,pbl-i,pu,lab-601,lab,8:30-9:30,Fri,Odd(2025-26),Mr. Prashant B. Upadhyay
sya2,pbl-i,vc,lab-601,lab,10:40-11:40,Mon,Odd(2025-26),Ms. Vricha S. Chavan
tya2,bce,pm,lab-601,lab,2:10-3:10,Mon,Odd(2025-26),Unknown
syb1,pbl-i,vc,lab-601,lab,1:10-2:10,Thu,Odd(2025-26),Ms. Vricha S. Chavan
tya4,ai,jk,lab-701,lab,1:10-2:10,Thu,Odd(2025-26),Dr. Jayashree V. Khanapuri
sya3,pbl-i,td,lab-601a,lab,8:30-9:30,Thu,Odd(2025-26),Ms. Tilottama P. Dhake
syb2,pbl-i,sd,lab-601,lab,10:40-11:40,Tue,Odd(2025-26),Dr. Sandhya S. Deshpande
tya2,ai,jk,lab-701,lab,1:10-2:10,Tue,Odd(2025-26),Dr. Jayashree V. Khanapuri
tyb1,bce,ap,lab-601,lab,1:10-2:10,Tue,Odd(2025-26),Dr. Anita Padhye
tyb,ie,it,cr-0,lecture,3:10-4:10,Tue,Odd(2025-26),Unknown
sya1,pbl-i,td,lab-601a,lab,8:30-9:30,Tue,Odd(2025-26),Ms. Tilottama P. Dhake
syb3,pbl-i,td,lab-601,lab,8:30-9:30,Wed,Odd(2025-26),Ms. Tilottama P. Dhake
ty,ai,jk,cr-6,lecture,8:30-9:30,Wed,Odd(2025-26),Dr. Jayashree V. Khanapuri
tyb,ie,it,cr-0,lecture,8:30-9:30,Wed,Odd(2025-26),Unknown
